,uuid,bar_code,category,brand,material_name,material_name_zh,launch_date,ingredient
0,982584,6902088411690,SKIN CARE,POND'S,PONDS BB PINKISH FF N 12X150G,旁氏焕采净澈系列粉润莹泽洁面乳 12X150G,2020-03-10,"['肉豆蔻酸', '甘油', '水', '丙二醇', '氢氧化钾', '棕榈酸', '月桂酸', '乙二醇二硬脂酸酯', '硬脂酸', '辛基葡糖苷', '甘油硬脂酸酯', '月桂基葡糖苷', '癸基葡糖苷', '烟酰胺', '香精', '肉豆蔻基葡糖苷', '苯氧乙醇', '聚季铵盐-7', 'EDTA 二钠', 'PEG-4 二月桂酸酯', 'PEG-4 月桂酸酯', '碘丙炔醇丁基氨甲酸酯', '聚乙二醇-4']"
1,162194,6902088411744,SKIN CARE,POND'S,PONDS PURE GLOW FACIAL FOAM N 12X150G,旁氏清透净澈系列竹炭清透洁面乳 12X150G,2020-03-03,"['肉豆蔻酸', '甘油', '水', '丙二醇', '氢氧化钾', '棕榈酸', '月桂酸', '乙二醇二硬脂酸酯', '硬脂酸', '辛基葡糖苷', '甘油硬脂酸酯', '月桂基葡糖苷', '癸基葡糖苷', '肉豆蔻基葡糖苷', '香精', '苯氧乙醇', '聚季铵盐-7', 'PEG-4 二月桂酸酯', 'PEG-4 月桂酸酯', 'EDTA 二钠', '炭粉', '碘丙炔醇丁基氨甲酸酯', '聚乙二醇-4']"
2,684216,9902088013754,SKIN CARE,POND'S,PONDS BB RICE FAIR Y20 240X15G,旁氏焕采净澈系列米粹润泽洁面乳Y20 240X15G,2020-08-12,"['甘油', '水', '椰油酰甘氨酸钠', '乙二醇二硬脂酸酯', '月桂酰胺丙基甜菜碱', '硬脂酸', '甲基椰油酰基牛磺酸钠', '月桂亚氨基二乙酸二钠', '稻糠提取物', '稻胚芽油', '鲸蜡醇聚醚-20', '氯化钠', '柠檬酸', '聚季铵盐-39', '香精', '苯氧乙醇', '卡波姆', 'PEG-4 二月桂酸酯', 'PEG-4 月桂酸酯', '烟酰胺', 'PEG-40 氢化蓖麻油', '碘丙炔醇丁基氨甲酸酯', '聚乙二醇-4', '乳酸', 'CI 77891']"
3,611978,6902088913484,SKIN CARE,DOVE,DOVE ROSY GLOW FACE POLISHER 12X75G,多芬瑰丽粉妍面部磨砂膏 12X75G,2020-07-01,"['水', '甘油', '印度簕竹茎提取物', '突厥蔷薇花水', '月桂酰谷氨酸钠', '丙烯酸(酯)类共聚物', '癸基葡糖苷', '椰油酰胺丙基甜菜碱', '丙烯酸（酯）类/棕榈油醇聚醚-25 丙烯酸酯共聚物', '月桂酰燕麦氨基酸钠', '氢氧化钠', 'EDTA 二钠', '丙二醇', '生育酚乙酸酯', '亚油酰胺丙基 PG-二甲基氯化铵磷酸酯', 'PEG-7 甘油椰油酸酯', 'PEG-4 月桂酸酯', 'PEG-4 二月桂酸酯', '聚乙二醇-4', '碘丙炔醇丁基氨甲酸酯', '苯氧乙醇', 'CI 17200', '（日用）香精', '二苯酮-4', '烟酰胺', '乳酸', '葡糖酸内酯', '柠檬酸', '柠檬酸钠', '糖类同分异构体', '1,2-戊二醇', '乙酰化透明质酸钠', '透明质酸钠', '透明质酸钠交联聚合物', '神经酰胺 3', '神经酰胺 6 II', '神经酰胺 1', '植物鞘氨醇', '胆甾醇', '月桂酰乳酰乳酸钠', '卡波姆', '黄原胶', '羟乙基脲', '氯化钠', 'EDTA 四钠', '月桂酸', '月桂酸钠', '谷氨酸', '苯甲酸钠']"
4,748448,6902088421330,SKIN CARE,POND'S,PONDS BB RICE Y20 LE V2 12X120G,旁氏焕采净澈系列米粹润泽洁面乳限量装Y20V2 12X120G,2020-05-12,"['甘油', '水', '椰油酰甘氨酸钠', '乙二醇二硬脂酸酯', '月桂酰胺丙基甜菜碱', '硬脂酸', '甲基椰油酰基牛磺酸钠', '月桂亚氨基二乙酸二钠', '稻糠提取物', '稻胚芽油', '鲸蜡醇聚醚-20', '氯化钠', '柠檬酸', '聚季铵盐-39', '香精', '苯氧乙醇', '卡波姆', 'PEG-4 二月桂酸酯', 'PEG-4 月桂酸酯', '烟酰胺', 'PEG-40 氢化蓖麻油', '碘丙炔醇丁基氨甲酸酯', '聚乙二醇-4', '乳酸', 'CI 77891']"
5,748448,6902088421330,SKIN CARE,POND'S,POND'S BB RICE FAIR FACIAL FOAM 12X120G,旁氏亮采净澈系列米粹润泽洁面乳12X120G,2020-05-12,"['甘油', '水', '椰油酰甘氨酸钠', '乙二醇二硬脂酸酯', '月桂酰胺丙基甜菜碱', '硬脂酸', '甲基椰油酰基牛磺酸钠', '月桂亚氨基二乙酸二钠', '稻糠提取物', '稻胚芽油', '鲸蜡醇聚醚-20', '氯化钠', '柠檬酸', '聚季铵盐-39', '香精', '苯氧乙醇', '卡波姆', 'PEG-4 二月桂酸酯', 'PEG-4 月桂酸酯', '烟酰胺', 'PEG-40 氢化蓖麻油', '碘丙炔醇丁基氨甲酸酯', '聚乙二醇-4', '乳酸', 'CI 77891']"
6,748448,6902088421330,SKIN CARE,POND'S,PONDS BB RICE FAIR LP 17Y 12X120G,旁氏亮采净澈系列米粹润泽洁面乳限量版Y17年12X120G,2020-05-12,"['甘油', '水', '椰油酰甘氨酸钠', '乙二醇二硬脂酸酯', '月桂酰胺丙基甜菜碱', '硬脂酸', '甲基椰油酰基牛磺酸钠', '月桂亚氨基二乙酸二钠', '稻糠提取物', '稻胚芽油', '鲸蜡醇聚醚-20', '氯化钠', '柠檬酸', '聚季铵盐-39', '香精', '苯氧乙醇', '卡波姆', 'PEG-4 二月桂酸酯', 'PEG-4 月桂酸酯', '烟酰胺', 'PEG-40 氢化蓖麻油', '碘丙炔醇丁基氨甲酸酯', '聚乙二醇-4', '乳酸', 'CI 77891']"
7,748448,6902088421330,SKIN CARE,POND'S,PONDS BB RICE Y20 LE V3 12X120G,旁氏焕采净澈系列米粹润泽洁面乳限量装Y20V3 12X120G,2020-05-12,"['甘油', '水', '椰油酰甘氨酸钠', '乙二醇二硬脂酸酯', '月桂酰胺丙基甜菜碱', '硬脂酸', '甲基椰油酰基牛磺酸钠', '月桂亚氨基二乙酸二钠', '稻糠提取物', '稻胚芽油', '鲸蜡醇聚醚-20', '氯化钠', '柠檬酸', '聚季铵盐-39', '香精', '苯氧乙醇', '卡波姆', 'PEG-4 二月桂酸酯', 'PEG-4 月桂酸酯', '烟酰胺', 'PEG-40 氢化蓖麻油', '碘丙炔醇丁基氨甲酸酯', '聚乙二醇-4', '乳酸', 'CI 77891']"
8,748448,6902088421330,SKIN CARE,POND'S,PONDS BB RICE Y20 LE V1 12X120G,旁氏焕采净澈系列米粹润泽洁面乳限量装Y20V1 12X120G,2020-05-12,"['甘油', '水', '椰油酰甘氨酸钠', '乙二醇二硬脂酸酯', '月桂酰胺丙基甜菜碱', '硬脂酸', '甲基椰油酰基牛磺酸钠', '月桂亚氨基二乙酸二钠', '稻糠提取物', '稻胚芽油', '鲸蜡醇聚醚-20', '氯化钠', '柠檬酸', '聚季铵盐-39', '香精', '苯氧乙醇', '卡波姆', 'PEG-4 二月桂酸酯', 'PEG-4 月桂酸酯', '烟酰胺', 'PEG-40 氢化蓖麻油', '碘丙炔醇丁基氨甲酸酯', '聚乙二醇-4', '乳酸', 'CI 77891']"
9,748448,6902088421330,SKIN CARE,POND'S,PONDS BB RICE Y18 LE 12X120G,旁氏亮采净澈系列米粹润泽洁面乳限量装 Y18 12X120G,2020-05-12,"['甘油', '水', '椰油酰甘氨酸钠', '乙二醇二硬脂酸酯', '月桂酰胺丙基甜菜碱', '硬脂酸', '甲基椰油酰基牛磺酸钠', '月桂亚氨基二乙酸二钠', '稻糠提取物', '稻胚芽油', '鲸蜡醇聚醚-20', '氯化钠', '柠檬酸', '聚季铵盐-39', '香精', '苯氧乙醇', '卡波姆', 'PEG-4 二月桂酸酯', 'PEG-4 月桂酸酯', '烟酰胺', 'PEG-40 氢化蓖麻油', '碘丙炔醇丁基氨甲酸酯', '聚乙二醇-4', '乳酸', 'CI 77891']"
