,uuid,channel,sales_period_,sales_value
0,112777,EC,6,8.201380846
1,112777,RT,6,5.497663152
2,157886,EC,6,8.775864209
3,157886,RT,6,7.876226272
4,162194,EC,6,10.0072621
5,162194,RT,6,9.492279305
6,212047,EC,6,10.40793893
7,212047,RT,6,10.02559104
8,246518,EC,6,8.257719601
9,246518,RT,6,5.458755802
10,251884,RT,6,8.249683078
11,255420,RT,6,10.11468751
12,257306,EC,6,9.954657567
13,257306,RT,6,8.467616954
14,298035,RT,6,8.339137574
15,346706,EC,6,7.472472371
16,346706,RT,6,6.442296881
17,350042,EC,6,10.4726514
18,350042,RT,6,10.12764451
19,376043,EC,6,9.013052496
20,376043,RT,6,9.160606269
21,384517,EC,6,9.820756846
22,384517,RT,6,8.984898865
23,455262,EC,6,10.13655325
24,455262,RT,6,10.09101583
25,462613,RT,6,8.522166183
26,480662,EC,6,9.661197683
27,480662,RT,6,9.069932749
28,486767,EC,6,7.718013858
29,486767,RT,6,6.442296881
30,487038,EC,6,9.181187393
31,493422,EC,6,9.826385713
32,493422,RT,6,9.50139174
33,496048,RT,6,8.991564169
34,502168,EC,6,9.192923162
35,502168,RT,6,6.668591266
36,502403,EC,6,11.9399887
37,502403,RT,6,10.95165566
38,611978,EC,6,9.216871341
39,611978,RT,6,6.679826579
40,646022,EC,6,8.818069036
41,646022,RT,6,9.62587551
42,648178,EC,6,9.314926085
43,648178,RT,6,9.11589381
44,648823,EC,6,10.63059325
45,648823,RT,6,7.611620638
46,684216,RT,6,11.17075708
47,691513,EC,6,8.857906544
48,691513,RT,6,9.677144893
49,704915,RT,6,9.46711889
50,738511,EC,6,8.368584995
51,738511,RT,6,6.458073932
52,739338,EC,6,8.267197117
53,739338,RT,6,6.946080274
54,748448,EC,6,10.84365453
55,748448,RT,6,6.654998354
56,786336,RT,6,10.97174514
57,808509,RT,6,10.35898979
58,823143,RT,6,9.140925728
59,831272,RT,6,9.914791661
60,848027,RT,6,10.47697795
61,867286,EC,6,7.748987171
62,867286,RT,6,5.954361844
63,878250,EC,6,10.42737571
64,878250,RT,6,10.35210953
65,888785,EC,6,10.0186656
66,888785,RT,6,9.002215588
67,889055,RT,6,9.052776336
68,890453,EC,6,9.673900328
69,890453,RT,6,8.623044852
70,913362,RT,6,10.18372299
71,914920,EC,6,8.217649409
72,914920,RT,6,7.700664676
73,917446,RT,6,10.82057121
74,947251,EC,6,10.3331069
75,947251,RT,6,10.03852024
76,962209,EC,6,9.88783755
77,962209,RT,6,9.407359784
78,982584,EC,6,9.614394975
79,982584,RT,6,9.50517914
80,994949,RT,6,9.887114212
81,112777,EC,12,8.525868118
82,112777,RT,12,5.531328945
83,157886,EC,12,9.027108775
84,157886,RT,12,8.489373465
85,162194,EC,12,10.20705754
86,162194,RT,12,9.758999301
87,212047,EC,12,11.17391861
88,212047,RT,12,10.26453383
89,246518,EC,12,8.588643276
90,246518,RT,12,5.494775437
91,251884,RT,12,8.258777966
92,255420,RT,12,10.1649592
93,257306,EC,12,10.31550731
94,257306,RT,12,9.104324201
95,298035,RT,12,8.438530988
96,346706,EC,12,8.196279219
97,346706,RT,12,7.055444073
98,350042,EC,12,10.80088372
99,350042,RT,12,10.57289394
100,376043,EC,12,9.295525943
101,376043,RT,12,9.21871491
102,384517,EC,12,10.26278409
103,384517,RT,12,9.3895303
104,455262,EC,12,10.2231657
105,455262,RT,12,10.15145488
106,462613,RT,12,8.747188625
107,480662,EC,12,9.676331454
108,480662,RT,12,9.137893684
109,486767,EC,12,8.291979308
110,486767,RT,12,7.085619564
111,487038,EC,12,9.181187393
112,493422,EC,12,9.906927238
113,493422,RT,12,9.548944903
114,496048,RT,12,9.152913837
115,502168,EC,12,9.543621672
116,502168,RT,12,8.188190518
117,502403,EC,12,12.35273447
118,502403,RT,12,11.38021194
119,611978,EC,12,9.311690714
120,611978,RT,12,7.912287995
121,646022,EC,12,9.120445806
122,646022,RT,12,9.675359825
123,648178,EC,12,9.598507415
124,648178,RT,12,9.362485365
125,648823,EC,12,11.06388454
126,648823,RT,12,7.868391798
127,684216,RT,12,11.45369386
128,691513,EC,12,9.114408039
129,691513,RT,12,9.876226272
130,704915,RT,12,10.18608423
131,738511,EC,12,8.669707908
132,738511,RT,12,7.250079895
133,739338,EC,12,8.415411357
134,739338,RT,12,7.35123343
135,748448,EC,12,10.84365453
136,748448,RT,12,7.041851162
137,786336,RT,12,11.10812419
138,808509,RT,12,10.36116793
139,823143,RT,12,9.324544248
140,831272,RT,12,9.937555572
141,848027,RT,12,10.8256329
142,867286,EC,12,7.945244315
143,867286,RT,12,5.99903453
144,878250,EC,12,10.61100412
145,878250,RT,12,10.48435048
146,888785,EC,12,10.26586355
147,888785,RT,12,9.416837673
148,889055,RT,12,9.148471821
149,890453,EC,12,9.980828664
150,890453,RT,12,9.119676492
151,913362,RT,12,10.31037748
152,914920,EC,12,8.656103512
153,914920,RT,12,7.716498664
154,917446,RT,12,10.90223788
155,947251,EC,12,10.6397976
156,947251,RT,12,10.21100182
157,962209,EC,12,10.23567035
158,962209,RT,12,10.06785747
159,982584,EC,12,9.870377098
160,982584,RT,12,9.844961508
161,994949,RT,12,10.11132776
